x,E,dE,index,job,run,basis,xc,external_force,ix_c,ix_n,system,frame,error,msg,type,time,d,cwd,resname_c,resname_n,frame_index
0.1263818,0.0,0.0,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.1312632,-4.139968,0.5327389,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.1361446,-3.307601,0.8089455,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.141026,1.967337,0.8003754,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.1459074,14.28615,0.8547967,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.1507887,28.55893,0.8771699,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.1556701,43.34578,0.919572,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.1605515,58.50058,0.9401069,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.1654329,73.97408,1.075996,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.1703143,85.49112,0.9907585,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.1751957,101.8581,3.067126,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.180077,7.422028,0.9679888,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.1849584,7.422028,0.9679888,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.1898398,7.422028,0.9679888,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
