job,run,basis,xc,external_force,ix_c,ix_n,system,frame,error,msg,type,time,d,cwd
wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,97,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000050) needs to be non-negative\n\n,Error.GmxError,1.198,0.118376,run_6/f-603/ixs-178-180/single/frame-97
wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,99,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000084) needs to be non-negative\n\n,Error.GmxError,1.328,0.130933,run_6/f-603/ixs-178-180/single/frame-99
wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,94,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000078) needs to be non-negative\n\n,Error.GmxError,1.545,0.134706,run_6/f-603/ixs-178-180/single/frame-94
wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,93,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000100) needs to be non-negative\n\n,Error.GmxError,1.598,0.138361,run_6/f-603/ixs-178-180/single/frame-93
wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96
wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,95,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000033) needs to be non-negative\n\n,Error.GmxError,1.498,0.130213,run_6/f-603/ixs-178-180/single/frame-95
wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,98,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000247) needs to be non-negative\n\n,Error.GmxError,1.098,0.12756,run_6/f-603/ixs-178-180/single/frame-98
wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,100,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000276) needs to be non-negative\n\n,Error.GmxError,0.998,0.138325,run_6/f-603/ixs-178-180/single/frame-100
wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,91,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000020) needs to be non-negative\n\n,Error.GmxError,1.598,0.130214,run_6/f-603/ixs-178-180/single/frame-91
wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,92,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000103) needs to be non-negative\n\n,Error.GmxError,1.798,0.134111,run_6/f-603/ixs-178-180/single/frame-92
wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,triple,98,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000163) needs to be non-negative\n\n,Error.GmxError,1.798,0.128957,run_6/f-603/ixs-178-180/triple/frame-98
wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,triple,92,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000112) needs to be non-negative\n\n,Error.GmxError,1.798,0.131212,run_6/f-603/ixs-178-180/triple/frame-92
wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,triple,95,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000127) needs to be non-negative\n\n,Error.GmxError,1.598,0.132715,run_6/f-603/ixs-178-180/triple/frame-95
wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,triple,97,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000156) needs to be non-negative\n\n,Error.GmxError,1.798,0.132159,run_6/f-603/ixs-178-180/triple/frame-97
