cwd,job,run,basis,external_force,ix_c,ix_n,system,frame,t,error,msg,type,time,d
/hits/fast/mbm/buhrjk/phd/col-hydrolysis/qmmm/hydrolysis/run_6/f-603/ixs-178-180/single/frame-95,wethyd-conf-0.8690,run_6,TZV2P-MOLOPT-GTH,603,178,180,single,95,0.8690,False,,,4.999,0.255544
/hits/fast/mbm/buhrjk/phd/col-hydrolysis/qmmm/hydrolysis/run_6/f-603/ixs-178-180/single/frame-95,wethyd-conf-0.8255,run_6,TZV2P-MOLOPT-GTH,603,178,180,single,95,0.8255,False,,,4.999,0.265331
/hits/fast/mbm/buhrjk/phd/col-hydrolysis/qmmm/hydrolysis/run_6/f-603/ixs-178-180/single/frame-95,wethyd-conf-0.7995,run_6,TZV2P-MOLOPT-GTH,603,178,180,single,95,0.7995,False,,,4.999,0.274838
/hits/fast/mbm/buhrjk/phd/col-hydrolysis/qmmm/hydrolysis/run_6/f-603/ixs-178-180/single/frame-95,wethyd-conf-0.7380,run_6,TZV2P-MOLOPT-GTH,603,178,180,single,95,0.7380,False,,,4.999,0.297706
/hits/fast/mbm/buhrjk/phd/col-hydrolysis/qmmm/hydrolysis/run_6/f-603/ixs-178-180/single/frame-95,wethyd-conf-0.6360,run_6,TZV2P-MOLOPT-GTH,603,178,180,single,95,0.6360,False,,,4.999,0.31114
/hits/fast/mbm/buhrjk/phd/col-hydrolysis/qmmm/hydrolysis/run_6/f-603/ixs-178-180/single/frame-95,wethyd-conf-0.5655,run_6,TZV2P-MOLOPT-GTH,603,178,180,single,95,0.5655,False,,,4.999,0.304485
/hits/fast/mbm/buhrjk/phd/col-hydrolysis/qmmm/hydrolysis/run_6/f-603/ixs-178-180/single/frame-95,wethyd-conf-0.4935,run_6,TZV2P-MOLOPT-GTH,603,178,180,single,95,0.4935,False,,,4.999,0.331058
/hits/fast/mbm/buhrjk/phd/col-hydrolysis/qmmm/hydrolysis/run_6/f-603/ixs-178-180/single/frame-95,wethyd-conf-0.4580,run_6,TZV2P-MOLOPT-GTH,603,178,180,single,95,0.4580,False,,,4.999,0.306834
/hits/fast/mbm/buhrjk/phd/col-hydrolysis/qmmm/hydrolysis/run_6/f-603/ixs-178-180/single/frame-95,wethyd-conf-0.3830,run_6,TZV2P-MOLOPT-GTH,603,178,180,single,95,0.3830,False,,,4.999,0.357286
/hits/fast/mbm/buhrjk/phd/col-hydrolysis/qmmm/hydrolysis/run_6/f-603/ixs-178-180/single/frame-95,wethyd-conf-0.4020,run_6,TZV2P-MOLOPT-GTH,603,178,180,single,95,0.4020,False,,,4.999,0.348264
