job,run,basis,xc,external_force,ix_c,ix_n,system,frame,error,msg,type,time,d,cwd
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,97,False,,,0.0198,0.362989,run_6/f-603/ixs-178-180/single/frame-97
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,91,False,,,0.0198,0.487895,run_6/f-603/ixs-178-180/single/frame-91
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,93,False,,,0.0198,0.483155,run_6/f-603/ixs-178-180/single/frame-93
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,95,False,,,0.0198,0.458341,run_6/f-603/ixs-178-180/single/frame-95
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,92,False,,,0.0198,0.546822,run_6/f-603/ixs-178-180/single/frame-92
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,99,False,,,0.0198,0.399652,run_6/f-603/ixs-178-180/single/frame-99
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,98,False,,,0.0198,0.343311,run_6/f-603/ixs-178-180/single/frame-98
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,100,False,,,0.0198,0.321842,run_6/f-603/ixs-178-180/single/frame-100
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,94,False,,,0.0198,0.464001,run_6/f-603/ixs-178-180/single/frame-94
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,False,,,0.0198,0.468825,run_6/f-603/ixs-178-180/single/frame-96
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,triple,95,False,,,0.0198,0.483647,run_6/f-603/ixs-178-180/triple/frame-95
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,triple,92,False,,,0.0198,0.541407,run_6/f-603/ixs-178-180/triple/frame-92
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,triple,93,False,,,0.0198,0.551215,run_6/f-603/ixs-178-180/triple/frame-93
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,triple,94,False,,,0.0198,0.626405,run_6/f-603/ixs-178-180/triple/frame-94
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,triple,97,False,,,0.0198,0.558641,run_6/f-603/ixs-178-180/triple/frame-97
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,triple,99,False,,,0.0198,0.512519,run_6/f-603/ixs-178-180/triple/frame-99
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,triple,100,False,,,0.0198,0.6111,run_6/f-603/ixs-178-180/triple/frame-100
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,triple,91,False,,,0.0198,0.549199,run_6/f-603/ixs-178-180/triple/frame-91
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,triple,96,False,,,0.0198,0.64364,run_6/f-603/ixs-178-180/triple/frame-96
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,triple,98,False,,,0.0198,0.559728,run_6/f-603/ixs-178-180/triple/frame-98
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,276,278,single,99,False,,,0.0198,0.469089,run_6/f-603/ixs-276-278/single/frame-99
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,276,278,single,96,False,,,0.0198,0.463526,run_6/f-603/ixs-276-278/single/frame-96
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,276,278,single,100,False,,,0.0198,0.41616,run_6/f-603/ixs-276-278/single/frame-100
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,276,278,single,91,False,,,0.0198,0.479248,run_6/f-603/ixs-276-278/single/frame-91
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,276,278,single,93,False,,,0.0198,0.301042,run_6/f-603/ixs-276-278/single/frame-93
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,276,278,single,92,False,,,0.0198,0.448342,run_6/f-603/ixs-276-278/single/frame-92
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,276,278,single,97,False,,,0.0198,0.490907,run_6/f-603/ixs-276-278/single/frame-97
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,276,278,single,98,False,,,0.0198,0.540209,run_6/f-603/ixs-276-278/single/frame-98
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,276,278,single,95,False,,,0.0198,0.382626,run_6/f-603/ixs-276-278/single/frame-95
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,276,278,single,94,False,,,0.0198,0.414385,run_6/f-603/ixs-276-278/single/frame-94
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,276,278,triple,94,False,,,0.0198,0.626458,run_6/f-603/ixs-276-278/triple/frame-94
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,276,278,triple,96,False,,,0.0198,0.51681,run_6/f-603/ixs-276-278/triple/frame-96
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,276,278,triple,97,False,,,0.0198,0.52191,run_6/f-603/ixs-276-278/triple/frame-97
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,276,278,triple,98,False,,,0.0198,0.5903,run_6/f-603/ixs-276-278/triple/frame-98
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,276,278,triple,92,False,,,0.0198,0.506827,run_6/f-603/ixs-276-278/triple/frame-92
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,276,278,triple,100,False,,,0.0198,0.527604,run_6/f-603/ixs-276-278/triple/frame-100
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,276,278,triple,95,False,,,0.0198,0.485769,run_6/f-603/ixs-276-278/triple/frame-95
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,276,278,triple,91,False,,,0.0198,0.531468,run_6/f-603/ixs-276-278/triple/frame-91
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,276,278,triple,93,False,,,0.0198,0.620426,run_6/f-603/ixs-276-278/triple/frame-93
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,276,278,triple,99,False,,,0.0198,0.381919,run_6/f-603/ixs-276-278/triple/frame-99
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1473,1475,single,97,False,,,0.0,,run_6/f-603/ixs-1473-1475/single/frame-97
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1473,1475,single,92,False,,,0.0198,0.346937,run_6/f-603/ixs-1473-1475/single/frame-92
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1473,1475,single,96,False,,,0.0198,0.365568,run_6/f-603/ixs-1473-1475/single/frame-96
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1473,1475,single,91,False,,,0.0,,run_6/f-603/ixs-1473-1475/single/frame-91
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1473,1475,single,100,False,,,0.0198,0.428813,run_6/f-603/ixs-1473-1475/single/frame-100
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1473,1475,single,94,False,,,0.0198,0.501363,run_6/f-603/ixs-1473-1475/single/frame-94
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1473,1475,single,99,False,,,0.0,,run_6/f-603/ixs-1473-1475/single/frame-99
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1473,1475,single,98,False,,,0.0198,0.410323,run_6/f-603/ixs-1473-1475/single/frame-98
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1473,1475,single,93,False,,,0.0198,0.443562,run_6/f-603/ixs-1473-1475/single/frame-93
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1473,1475,single,95,False,,,0.0198,0.388324,run_6/f-603/ixs-1473-1475/single/frame-95
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1473,1475,triple,97,False,,,0.0,,run_6/f-603/ixs-1473-1475/triple/frame-97
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1473,1475,triple,99,False,,,0.0198,0.595136,run_6/f-603/ixs-1473-1475/triple/frame-99
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1473,1475,triple,95,False,,,0.0198,0.432664,run_6/f-603/ixs-1473-1475/triple/frame-95
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1473,1475,triple,96,False,,,0.0198,0.533991,run_6/f-603/ixs-1473-1475/triple/frame-96
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1473,1475,triple,100,False,,,0.0198,0.604998,run_6/f-603/ixs-1473-1475/triple/frame-100
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1473,1475,triple,93,False,,,0.0198,0.591824,run_6/f-603/ixs-1473-1475/triple/frame-93
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1473,1475,triple,98,False,,,0.0198,0.625322,run_6/f-603/ixs-1473-1475/triple/frame-98
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1473,1475,triple,94,False,,,0.0198,0.609369,run_6/f-603/ixs-1473-1475/triple/frame-94
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1473,1475,triple,91,False,,,0.0198,0.557904,run_6/f-603/ixs-1473-1475/triple/frame-91
